product_id,product_name,product_price,category_id
1360,Smart watch,327.75,1
365,Perfect Fitness Perfect Rip Deck,59.99000168,2
627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,3
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,4
278,Under Armour Men's Compression EV SL Slide,44.99000168,5
249,Under Armour Women's Micro G Skulpt Running S,54.97000122,6
191,Nike Men's Free 5.0+ Running Shoe,99.98999786,7
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,8
828,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,9
642,Columbia Men's PFG Anchor Tough T-Shirt,30.0,3
818,Titleist Pro V1x Golf Balls,47.99000168,9
825,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,9
306,Polar FT4 Heart Rate Monitor,89.98999786,1
977,ENO Atlas Hammock Straps,29.98999977,10
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,11
251,Brooks Women's Ghost 6 Running Shoe,89.98999786,6
403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11
957,Diamondback Women's Serene Classic Comfort Bi,299.980011,10
1352,Industrial consumer electronics,252.8800049,12
1349,Web Camera,452.0400085,13
1351,Dell Laptop,1500.0,14
60,SOLE E25 Elliptical,999.9899902,1
24,Elevation Training Mask 2.0,79.98999786,15
567,adidas Men's Germany Black Crest Away Tee,25.0,16
893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,17
924,Glove It Urban Brick Golf Towel,15.98999977,18
905,Team Golf Texas Longhorns Putter Grip,24.98999977,17
564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,16
885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,17
1363,Summer dresses,215.8200073,19
1353,Porcelain crafts,461.480011,20
1357,Men's gala suit,210.8500061,16
906,Team Golf Tennessee Volunteers Putter Grip,24.98999977,17
886,Team Golf San Francisco Giants Putter Grip,24.98999977,17
926,Glove It Imperial Golf Towel,15.98999977,18
116,Nike Men's Comfort 2 Slide,44.99000168,5
235,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,15
273,Under Armour Kids' Mercenary Slide,27.98999977,5
282,Under Armour Women's Ignite PIP VI Slide,31.98999977,5
359,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,7
565,adidas Youth Germany Black/Red Away Match Soc,70.0,21
572,TYR Boys' Team Digi Jammer,39.99000168,3
804,Glove It Women's Imperial Golf Glove,19.98999977,18
822,Titleist Pro V1x High Numbers Golf Balls,47.99000168,9
835,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,9
276,Under Armour Women's Ignite Slide,31.98999977,5
823,Titleist Pro V1x High Numbers Personalized Go,51.99000168,9
203,GoPro HERO3+ Black Edition Camera,399.9899902,13
364,Total Gym 1400,299.9899902,2
1350,Children's heaters,357.1000061,22
897,Team Golf New England Patriots Putter Grip,24.98999977,17
37,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,11
172,Nike Women's Tempo Shorts,30.0,19
810,Glove It Women's Mod Oval Golf Glove,19.98999977,18
821,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,9
93,Under Armour Men's Tech II T-Shirt,24.98999977,16
1347,Baby sweater,59.08000183,23
305,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,1
1004,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,24
1346,Sports Books,31.07999992,25
58,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,10
311,Polar Loop Activity Tracker,109.9499969,1
303,Garmin Forerunner 910XT GPS Watch,399.9899902,1
1354,DVDs,164.3800049,26
1348,CDs of rock,11.28999996,27
78,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,28
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786,6
