customer_zipcode,latitude,longitude
725.0,18.2514534,-66.03705597
95125.0,37.29223251,-121.881279
90027.0,34.12594605,-118.2910156
14150.0,43.01396942,-78.87906647
33162.0,25.92886925,-80.16287231
94583.0,37.77399063,-121.966629
11520.0,40.65486527,-73.58707428
93905.0,36.6763382,-121.656517
1960.0,42.52627564,-70.92703247
729.0,18.3957901,-65.87288666
90723.0,33.89869309,-118.1745605
60056.0,42.04830551,-87.96134186
90813.0,33.78245163,-118.1922455
95670.0,38.61177445,-121.2828674
59102.0,45.78831101,-108.5594101
18702.0,41.23545456,-75.86985779
48066.0,41.86886215,-84.57365418
90706.0,33.90942383,-118.1253586
60187.0,41.86544037,-88.10990143
48238.0,42.39110184,-83.13121796
75220.0,32.86539459,-96.86858368
17013.0,40.03171921,-76.87709808
75228.0,32.81010819,-96.68649292
19702.0,39.68188095,-75.64421082
91402.0,34.15893936,-118.1809387
30318.0,33.81632614,-84.44550324
94539.0,37.49027634,-121.9271088
14609.0,43.18824005,-77.56706238
75211.0,32.753685,-96.86553955
957.0,18.38011932,-66.18312836
784.0,17.98249054,-66.1126709
795.0,18.05199051,-66.50184631
20744.0,38.74266434,-76.9917984
93304.0,35.36254501,-119.0186996
11368.0,40.74210739,-73.86962128
45238.0,39.28849411,-84.3551178
20874.0,39.1836586,-77.26545715
75006.0,32.96593094,-96.84902191
77093.0,29.83435631,-95.33792877
90023.0,34.20339966,-118.6059036
96706.0,21.31185532,-158.0046844
8701.0,40.09635925,-74.21524048
13440.0,43.21662521,-75.45603943
92083.0,33.21121979,-117.2510605
76106.0,32.8013916,-97.3302536
54935.0,43.78569031,-88.47438049
19139.0,39.79661942,-75.47006989
91764.0,34.07656479,-117.61409
32765.0,28.62217712,-81.20755768
14221.0,42.9666214,-78.74194336
96822.0,21.30562019,-157.8386993
92056.0,33.18587494,-117.3658524
14120.0,43.02910233,-78.87342072
93611.0,36.82690048,-119.6776962
11434.0,40.70170975,-73.80841827
62040.0,38.69002152,-90.14477539
2155.0,42.41968918,-71.10621643
91766.0,34.04991913,-117.7161026
85281.0,33.41519928,-111.9199905
92703.0,33.74279404,-117.8847504
17402.0,39.9602356,-76.67675781
80010.0,39.74543381,-104.8753815
93065.0,34.27391052,-118.7662125
20904.0,39.04636002,-76.98272705
55124.0,44.72552109,-93.20613098
78201.0,29.45598984,-98.52809143
19143.0,39.95672989,-75.19525909
19149.0,40.03775024,-75.06806183
10466.0,40.86353684,-73.87049866
